Unnamed: 0,Rank,Species (50 CFR Part 17),Status,Species Total,Cumulatative Total
,165.0,,"oby, tidewater (Eucyclogobius newberryi)",,E,,"$944,722",,"$1,249,347,526"
,166.0,,"ulachon, Pacific (Thaleichthys pacificus) - Southern DPS",,T,,"$933,127",,"$1,250,280,653"
,167.0,,"aintbrush, golden (Castilleja levisecta)",,T,,"$913,747",,"$1,251,194,400"
,168.0,,"rog, Chiricahua leopard (Rana chiricahuensis)",,T,,"$898,484",,"$1,252,092,884"
,169.0,,"hub, Virgin River (Gila seminuda (=robusta))",,E,,"$890,379",,"$1,252,983,263"
,170.0,,"ail, California clapper (Rallus longirostris obsoletus)",,E,,"$854,681",,"$1,253,837,944"
,171.0,,"nake, copperbelly water (Nerodia erythrogaster neglecta) – IN, MI,",,T,,"$837,385",,"$1,254,675,329"
,,,H,,,,,,
,172.0,,"adpole shrimp, vernal pool (Lepidurus packardi)",,E,,"$826,052",,"$1,255,501,381"
,173.0,,iggins eye (pearlymussel) (Lampsilis higginsii),,E,,"$810,227",,"$1,256,311,608"
,174.0,,"atmucket, Arkansas (Lampsilis powellii)",,T,,"$791,720",,"$1,257,103,328"
,175.0,,"eagrass, Johnson's (Halophila johnsonii)",,T,,"$782,255",,"$1,257,885,583"
,176.0,,"upine, Kincaid's (Lupinus sulphureus ssp. kincaidii)",,T,,"$761,052",,"$1,258,646,635"
,177.0,,"oundfin (Plagopterus argentissimus) - except Gila R. drainage,",,E,,"$749,149",,"$1,259,395,784"
,,,"Z, NM",,,,,,
,178.0,,"izard, blunt-nosed leopard (Gambelia silus)",,E,,"$747,090",,"$1,260,142,874"
,179.0,,ehe (Lipochaeta kamolensis),,E,,"$728,469",,"$1,260,871,343"
,180.0,,"ater-umbel, Huachuca (Lilaeopsis schaffneriana var. recurva)",,E,,"$726,139",,"$1,261,597,482"
,181.0,,"ucket, pink (pearlymussel) (Lampsilis abrupta)",,E,,"$686,548",,"$1,262,284,030"
,182.0,,"utterfly, Oregon silverspot (Speyeria zerene hippolyta)",,T,,"$683,195",,"$1,262,967,225"
,183.0,,"aribou, woodland (Rangifer tarandus caribou) - Selkirk Mountains",,E,,"$680,317",,"$1,263,647,542"
,184.0,,"arter, boulder (Etheostoma wapiti)",,E,,"$659,200",,"$1,264,306,742"
,185.0,,"ear, American black (Ursus americanus) - County range of LA",,SAT,,"$648,280",,"$1,264,955,022"
,,,.bear,,,,,,
,186.0,,"eppergrass, Slickspot (Lepidium papilliferum)",,T,,"$638,065",,"$1,265,593,087"
,187.0,,"tter, southern sea (Enhydra lutris nereis)",,T,,"$635,493",,"$1,266,228,580"
,188.0,,"ockfish, Yelloweye (Sebastes ruberrimus) - Puget Sound–GA",,T,,"$631,230",,"$1,266,859,810"
,,,asin DPS,,,,,,
,189.0,,"parrow, Florida grasshopper (Ammodramus savannarum",,E,,"$631,149",,"$1,267,490,959"
,,,loridanus),,,,,,
,190.0,,"ockfish, Canary (Sebastes pinniger) - Puget Sound–GA Basin DPS",,T,,"$628,991",,"$1,268,119,950"
,191.0,,"rane, Mississippi sandhill (Grus canadensis pulla)",,E,,"$598,233",,"$1,268,718,183"
,192.0,,"aracara, Audubon's crested (Polyborus plancus audubonii) - FL",,T,,"$574,895",,"$1,269,293,078"
,193.0,,"hale, North Pacific Right (Eubalaena japonica)",,E,,"$570,759",,"$1,269,863,837"
,194.0,,"agle, bald (Haliaeetus leucocephalus) - Sonoran Desert DPS",,T,,"$560,767",,"$1,270,424,604"
,195.0,,"quirrel, northern Idaho ground (Spermophilus brunneus brunneus)",,T,,"$558,046",,"$1,270,982,650"
,196.0,,"erret, black-footed (Mustela nigripes) - portions of AZ, CO, MT,",,EXPN,,"$557,007",,"$1,271,539,657"
,,,"D, UT, WY",,,,,,
,197.0,,ocaccio (Sebastes paucispinis) - Puget Sound–GA Basin DPS,,E,,"$554,690",,"$1,272,094,347"
,198.0,,"ouse, Preble's meadow jumping (Zapus hudsonius preblei) - CO,",,T,,"$554,186",,"$1,272,648,533"
,,,Y,,,,,,
,199.0,,"hrew, Buena Vista Lake ornate (Sorex ornatus relictus)",,E,,"$553,033",,"$1,273,201,566"
,200.0,,"aisy, Willamette (Erigeron decumbens var. decumbens)",,E,,"$547,428",,"$1,273,748,994"
,201.0,,"owellia, water (Howellia aquatilis)",,T,,"$539,612",,"$1,274,288,606"
,202.0,,"ussel, snuffbox (Epioblasma triquetra)",,E,,"$533,251",,"$1,274,821,857"
,203.0,,"upfish, Devils Hole (Cyprinodon diabolis)",,E,,"$531,440",,"$1,275,353,297"
,204.0,,"angaroo rat, giant (Dipodomys ingens)",,E,,"$525,255",,"$1,275,878,552"
,205.0,,"airy shrimp, San Diego (Branchinecta sandiegonensis)",,E,,"$521,140",,"$1,276,399,692"
,206.0,,"ireo, black-capped (Vireo atricapilla)",,E,,"$518,700",,"$1,276,918,392"
,207.0,,"hiner, Topeka (Notropis topeka (=tristis))",,E,,"$514,028",,"$1,277,432,420"
,208.0,,"parrow, San Clemente sage (Amphispiza belli clementeae)",,T,,"$513,785",,"$1,277,946,205"
,209.0,,"izard, Island night (Xantusia riversiana)",,T,,"$513,172",,"$1,278,459,377"
,210.0,,"ox, Santa Cruz Island (Urocyon littoralis santacruzae) - CA",,E,,"$507,870",,"$1,278,967,247"
,211.0,,"edgemussel, dwarf (Alasmidonta heterodon)",,E,,"$504,091",,"$1,279,471,338"
,212.0,,"hecker-mallow, Nelson's (Sidalcea nelsoniana)",,T,,"$503,935",,"$1,279,975,273"
,213.0,,"etrel, Hawaiian dark-rumped (Pterodroma phaeopygia",,E,,"$496,840",,"$1,280,472,113"
,,,andwichensis),,,,,,
,214.0,,"unshine, Sonoma (Blennosperma bakeri)",,E,,"$494,726",,"$1,280,966,839"
,215.0,,"rout, Greenback Cutthroat (Oncorhynchus clarki stomias)",,T,,"$490,727",,"$1,281,457,566"
,216.0,,"eadowfoam, Sebastopol (Limnanthes vinculans)",,E,,"$483,660",,"$1,281,941,226"
,217.0,,"oldfields, Burke's (Lasthenia burkei)",,E,,"$482,800",,"$1,282,424,026"
,218.0,,"tter, Northern Sea (Enhydra lutris kenyoni) - SW Alaska DPS",,T,,"$478,997",,"$1,282,903,023"
,219.0,,"ui chub, Mohave (Gila bicolor ssp. mohavensis)",,E,,"$475,243",,"$1,283,378,266"
,220.0,,"adies'-tresses, Ute (Spiranthes diluvialis)",,T,,"$473,122",,"$1,283,851,388"
,221.0,,"oorhen, Mariana common (Gallinula chloropus guami)",,E,,"$471,966",,"$1,284,323,354"
,222.0,,"rog, dusky gopher (Rana sevosa)",,E,,"$470,425",,"$1,284,793,779"
,223.0,,"eelsplitter, Carolina (Lasmigona decorata)",,E,,"$464,995",,"$1,285,258,774"
,224.0,,"at, Ozark big-eared (Corynorhinus (=Plecotus) townsendii ingens)",,E,,"$460,926",,"$1,285,719,700"
,225.0,,"at, lesser long-nosed (Leptonycteris curasoae yerbabuenae)",,E,,"$458,362",,"$1,286,178,062"
,226.0,,"ogonia, small whorled (Isotria medeoloides)",,T,,"$449,201",,"$1,286,627,263"
,227.0,,"hipsnake (=striped racer), Alameda (Masticophis lateralis",,T,,"$446,230",,"$1,287,073,493"
,,,uryxanthus),,,,,,
,228.0,,"earlshell, Louisiana (Margaritifera hembeli)",,T,,"$446,175",,"$1,287,519,668"
,229.0,,"olf, red (Canis rufus) - except where EXPN",,E,,"$444,500",,"$1,287,964,168"
