Group Name,Unnamed: 1,Rank,Unnamed: 3,Species (50 CFR Part 17),Unnamed: 5,Status,Unnamed: 7,FWS Total,Other Fed,Unnamed: 10,Federal Total,Unnamed: 12,States Total,Unnamed: 14,Species Total
,,,(=Salmo) mykiss) - middle,,,,,,,,,,,,
,,,,Columbia R.,,,,,,,,,,,
,,109.0,,"Sturgeon, gulf (Acipenser",,T,,"$2,000",$0,,"$2,000",,$0,,"$2,000"
,,,,,,,,,,,,,,,
,,,oxyrinchus desotoi),,,,,,,,,,,,
,,4.0,,"Sturgeon, pallid",,E,,"$78,258","$13,033,912",,"$13,112,170",,$0,,"$13,112,170"
,,,,,,,,,,,,,,,
,,,(Scaphirhynchus albus),,,,,,,,,,,,
,,65.0,,"Sucker, razorback",,E,,$0,"$375,000",,"$375,000",,$0,,"$375,000"
,,,,,,,,,,,,,,,
,,,(Xyrauchen texanus),,,,,,,,,,,,
,,7.0,,"Trout, bull (Salvelinus",,T,,$0,"$9,825,446",,"$9,825,446",,$0,,"$9,825,446"
,,,,,,,,,,,,,,,
,,,confluentus) - lower 48 states,,,,,,,,,,,,
,,21.0,,"Trout, Lahontan cutthroat",,T,,$0,"$3,157,008",,"$3,157,008",,$0,,"$3,157,008"
,,,,,,,,,,,,,,,
,,,(Oncorhynchus clarkii,,,,,,,,,,,,
,,,,henshawi),,,,,,,,,,,
Fishes subtotal,,,,,,,,"$759,184","$57,135,431",,"$57,894,615",,"$4,460,918",,"$62,355,533"
,,,,,,,,,,,,,,,
Clams,,86,,Fanshell (Cyprogenia,,E,,"$106,667",$0,,"$106,667",,$0,,"$106,667"
,,,stegaria),,,,,,,,,,,,
,,48,,Higgins eye (pearlymussel),,E,,"$759,667",$0,,"$759,667",,$0,,"$759,667"
,,,,,,,,,,,,,,,
,,,(Lampsilis higginsii),,,,,,,,,,,,
,,86,,"Mucket, pink (pearlymussel)",,E,,"$106,667",$0,,"$106,667",,$0,,"$106,667"
,,,,,,,,,,,,,,,
,,,(Lampsilis abrupta),,,,,,,,,,,,
,,106,,"Mussel, scaleshell (Leptodea",,E,,"$3,258",$0,,"$3,258",,$0,,"$3,258"
,,,,,,,,,,,,,,,
,,,leptodon),,,,,,,,,,,,
,,111,,"Pimpleback, orangefoot",,E,,$0,$100,,$100,,$0,,$100
,,,,,,,,,,,,,,,
,,,(pearlymussel) (Plethobasus,,,,,,,,,,,,
,,,,cooperianus),,,,,,,,,,,
,,75,,"Pocketbook, fat (Potamilus",,E,,"$221,250",$0,,"$221,250",,$0,,"$221,250"
,,,,,,,,,,,,,,,
,,,capax),,,,,,,,,,,,
,,36,,"Wedgemussel, dwarf",,E,,"$1,345,800",$0,,"$1,345,800",,$0,,"$1,345,800"
,,,,,,,,,,,,,,,
,,,(Alasmidonta heterodon),,,,,,,,,,,,
Clams subtotal,,,,,,,,"$2,543,309",$100,,"$2,543,409",,$0,,"$2,543,409"
,,,,,,,,,,,,,,,
Insects,,106,,"Beetle, American burying",,E,,"$3,258",$0,,"$3,258",,$0,,"$3,258"
,,,(Nicrophorus americanus),,,,,,,,,,,,
,,99,,"Beetle, valley elderberry",,T,,$0,"$11,200",,"$11,200",,$0,,"$11,200"
,,,,,,,,,,,,,,,
,,,longhorn (Desmocerus,,,,,,,,,,,,
