80,"Rock-cress, McDonald's",Arabis mcdonaldiana,E,545.4,"392,297.84",89.75%
81,"Deer, Key",Odocoileus virginianus clavium,E,530.28,"392,828.11",89.88%
82,"Eider, spectacled",Somateria fischeri,T,508.5,"393,336.61",89.99%
83,"Whale, humpback",Megaptera novaeangliae,E,491.6,"393,828.21",90.10%
84,"Pygmy-owl, cactus ferruginous",Glaucidium brasilianum cactorum,E,475.4,"394,303.61",90.21%
85,"Bear, Louisiana black",Ursus americanus luteolus,T,453.22,"394,756.84",90.32%
86,Spikedace,Meda fulgida,T,428.14,"395,184.98",90.41%
87,"Eider, Steller's",Polysticta stelleri,T,418.0,"395,602.98",90.51%
88,"Trout, greenback cutthroat",Oncorhynchus clarki stomias,T,411.06,"396,014.04",90.60%
89,"Splittail, Sacramento",Pogonichthys macrolepidotus,T,403.61,"396,417.64",90.70%
90,"Button-celery, San Diego",Eryngium aristulatum parishii,E,400.4,"396,818.04",90.79%
91,"Lomatium, Bradshaw's",Lomatium bradshawii,E,396.5,"397,214.54",90.88%
92,"Topminnow, Gila",Poeciliopsis occidentalis,E,385.6,"397,600.14",90.97%
93,"Tadpole shrimp, vernal pool",Lepidurus packardi,E,381.5,"397,981.65",91.05%
94,"Mesa-mint, San Diego",Pogogyne abramsii,E,367.2,"398,348.85",91.14%
95,"Trout, Gila",Oncorhynchus gilae,E,364.0,"398,712.85",91.22%
96,"Snake, eastern indigo",Drymarchon corais couperi,T,361.29,"399,074.14",91.30%
97,"Prairie dog, Utah",Cynomys parvidens,T,357.35,"399,431.49",91.39%
98,"Minnow, loach",Tiaroga cobitis,T,352.02,"399,783.52",91.47%
99,"Lily, Western",Lilium occidentale,E,349.0,"400,132.52",91.55%
100,"Tortoise, gopher",Gopherus polyphemus,T,342.01,"400,474.53",91.62%
101,"Sturgeon, shortnose",Acipenser brevirostrum,E,338.82,"400,813.35",91.70%
102,"Checker-mallow, Nelson's",Sidalcea nelsoniana,T,336.5,"401,149.85",91.78%
103,"Moorhen, Mariana common",Gallinula chloropus guami,E,323.0,"401,472.85",91.85%
104,"Sparrow, Cape Sable seaside",Ammodramus maritimus mirabilis,E,320.0,"401,792.85",91.93%
105,"Sheep, bighorn",Ovis canadensis,E,317.8,"402,110.65",92.00%
106,"Snails, Oahu tree",Achatinella spp.,E,312.83,"402,423.48",92.07%
107,"Beetle, valley elderberry longhorn",Desmocerus californicus dimorphus,T,301.83,"402,725.31",92.14%
108,"Goby, tidewater",Eucyclogobius newberryi,E,298.77,"403,024.09",92.21%
109,"Pelican, brown",Pelecanus occidentalis,E,298.05,"403,322.14",92.28%
110,"Bat, lesser long-nosed",Leptonycteris curasoae yerbabuenae,E,287.63,"403,609.76",92.34%
