Rank,Species (50 CFR Part 17),Status,"SpeciesTotal","CumulativeTotal"
205,"Butterfly, mission blue (Icaricia icarioides missionensis)",E,"$317,200","$885,891,539"
206,"Petrel, Hawaiian dark-rumped (Pterodroma phaeopygia sandwichensis)",E,"$312,140","$886,203,679"
207,"Darter, Niangua (Etheostoma nianguae)",T,"$311,570","$886,515,249"
208,"Pupfish, desert (Cyprinodon macularius)",E,"$311,372","$886,826,621"
209,"Rabbit, pygmy (Brachylagus idahoensis)Columbia Basin DPS",E,"$307,462","$887,134,083"
210,"Chub, Mohave tui (Gila bicolor mohavensis)",E,"$306,168","$887,440,251"
211,"Thrush, small Kauai (=puaiohi) (Myadestes palmeri)",E,"$305,382","$887,745,633"
212,"Salamander, frosted flatwoods (Ambystoma cingulatum)",T,"$305,018","$888,050,651"
213,"Tortoise, desert (Gopherus agassizii)outside/taken from Sonoran Desert",SAT,"$303,768","$888,354,419"
214,"Abalone, White (Haliotis sorenseni)North America (West Coast from Point Conception, CA, U.S.A., to Punta Abreojos,Baja California, Mexico)",E,"$300,500","$888,654,919"
215,Kamanomano (Cenchrus agrimonioides),E,"$299,245","$888,954,164"
216,"Mucket, pink (pearlymussel) (Lampsilis abrupta)",E,"$297,420","$889,251,584"
217,"Toad, Houston (Bufo houstonensis)",E,"$296,256","$889,547,840"
218,"Wild-rice, Texas (Zizania texana)",E,"$295,779","$889,843,619"
219,"Amaranth, seabeach (Amaranthus pumilus)",T,"$295,080","$890,138,699"
220,"Squirrel, Delmarva Peninsula fox (Sciurus niger cinereus)U.S.A. (DE, Sussex Co.)",EXPN,"$289,500","$890,428,199"
221,"Tern, roseate (Sterna dougallii dougallii)northeast U.S. nesting pop.",E,"$288,705","$890,716,904"
222,"Dragonfly, Hine's emerald (Somatochlora hineana)",E,"$287,501","$891,004,405"
223,"Riffleshell, northern (Epioblasma torulosa rangiana)",E,"$284,656","$891,289,061"
