"TABLE 2. SPECIES RANKED IN DESCENDING ORDER OF TOTAL FY2010 REPORTED EXPENDITURES, NOT INCLUDING LAND ACQUISITION COSTS",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Rank,Rank,Species (50 CFR Part 17),Species (50 CFR Part 17),Status,Status,,Species,,,Cumulatative,,,,
,,,,,,,,,Total,Total,,,,
,819,,,"Goldenrod, white-haired (Solidago albopilosa)",,,T,,,"$20,000",,,"1,159,160,869",
820.0,"Liveforever, Santa Barbara Island (Dudleya traskiae)",E,"$19,851","$1,159,180,720",,,,,,,,,,
,821,,,"Geranium, Hawaiian red-flowered (Geranium arboreum)",,,E,,,"$19,651",,,"1,159,200,371",
822.0,"Pupfish, Warm Springs (Cyprinodon nevadensis pectoralis)",E,"$19,598","$1,159,219,969",,,,,,,,,,
,823,,,Palo de rosa (Ottoschulzia rhodoxylon),,,E,,,"$19,558",,,"1,159,239,527",
824.0,"Fringe-tree, pygmy (Chionanthus pygmaeus)",E,"$19,556","$1,159,259,083",,,,,,,,,,
,825,,,"Dace, Ash Meadows speckled (Rhinichthys osculus nevadensis)",,,E,,,"$19,422",,,"1,159,278,505",
826.0,"Allocarya, Calistoga (Plagiobothrys strictus)",E,"$19,342","$1,159,297,847",,,,,,,,,,
,827,,,"Milkweed, Welsh's (Asclepias welshii)",,,T,,,"$19,100",,,"1,159,316,947",
828.0,"Madtom, yellowfin (Noturus flavipinnis) - Holston River, VA, TN",EXPN,"$19,000","$1,159,335,947",,,,,,,,,,
,829,,,"Spurge, telephus (Euphorbia telephioides)",,,T,,,"$18,867",,,"1,159,354,814",
830.0,"Dudleya, Santa Clara Valley (Dudleya setchellii)",E,"$18,847","$1,159,373,661",,,,,,,,,,
,831,,,"Silverside, Waccamaw (Menidia extensa)",,,T,,,"$18,824",,,"1,159,392,485",
832.0,"Vole, Hualapai Mexican (Microtus mexicanus hualpaiensis)",E,"$18,765","$1,159,411,250",,,,,,,,,,
,833,,,A`e (Zanthoxylum dipetalum var. tomentosum),,,E,,,"$18,650",,,"1,159,429,900",
834.0,"Cactus, Knowlton's (Pediocactus knowltonii)",E,"$18,631","$1,159,448,531",,,,,,,,,,
,835,,,"Elimia, lacy (snail) (Elimia crenatella)",,,T,,,"$18,504",,,"1,159,467,035",
836.0,"Rocksnail, plicate (Leptoxis plicata)",E,"$18,378","$1,159,485,413",,,,,,,,,,
,837,,,"Milk-vetch, Osterhout (Astragalus osterhoutii)",,,E,,,"$18,231",,,"1,159,503,644",
838.0,"Buckwheat, Ione (incl. Irish Hill) (Eriogonum apricum (incl. var. prostratum))",E,"$18,226","$1,159,521,870",,,,,,,,,,
,839,,,"Manzanita, Presidio (Arctostaphylos hookeri var. ravenii)",,,E,,,"$18,219",,,"1,159,540,089",
840.0,"Buckwheat, steamboat (Eriogonum ovalifolium var. williamsiae)",E,"$18,197","$1,159,558,286",,,,,,,,,,
,841,,,"Dudleyea, Santa Monica Mountains (Dudleya cymosa ssp. ovatifolia)",,,T,,,"$18,157",,,"1,159,576,443",
842.0,"Moccasinshell, Coosa (Medionidus parvulus)",E,"$18,095","$1,159,594,538",,,,,,,,,,
,,,,,,,,,,Total,Total,,,
843,"Gambusia, Pecos (Gambusia nobilis)",E,"$17,900","$1,159,612,438",,,,,,,,,,
,844,,,Plymouth Red-Bellied Turtle (Pseudemys rubriventris bangsi),,,E,,,"$17,800",,,"1,159,630,238",
845,"Checkermallow, Wenatchee Mountains (Sidalcea oregana var. calva)",E,"$17,789","$1,159,648,027",,,,,,,,,,
,846,,,"Butterfly, Myrtle's silverspot (Speyeria zerene myrtleae)",,,E,,,"$17,735",,,"1,159,665,762",
847,"Potentilla, Hickman's (Potentilla hickmanii)",E,"$17,663","$1,159,683,425",,,,,,,,,,
,848,,,"Goldenrod, Short's (Solidago shortii)",,,E,,,"$17,600",,,"1,159,701,025",
848,Schiedea haleakalensis (=Sci name),E,"$17,600","$1,159,718,625",,,,,,,,,,
,849,,,"Rattleweed, hairy (Baptisia arachnifera)",,,E,,,"$17,500",,,"1,159,736,125",
850,"Locoweed, Fassett's (Oxytropis campestris var. chartacea)",T,"$17,400","$1,159,753,525",,,,,,,,,,
,851,,,"Polygonum, Scotts Valley (Polygonum hickmanii)",,,E,,,"$17,361",,,"1,159,770,886",
852,"Fleabane, Zuni (Erigeron rhizomatus)",T,"$17,150","$1,159,788,036",,,,,,,,,,
,853,,,"Pitcher-plant, mountain sweet (Sarracenia rubra ssp. jonesii)",,,E,,,"$17,140",,,"1,159,805,176",
854,"Bladderpod, Zapata (Lesquerella thamnophila)",E,"$17,021","$1,159,822,197",,,,,,,,,,
855,855,,"Pigtoe, rough (Pleurobema plenum) - TN - portions of the French Broad and Holston",,EXPN,EXPN,"$17,000","$17,000","$1,159,839,197","1,159,839,197",,,,
,,,,Rivers,,,,,,,,,,
856,"Alopecurus, Sonoma (Alopecurus aequalis var. sonomensis)",E,"$16,985","$1,159,856,182",,,,,,,,,,
,857,,,"Blazingstar, Ash Meadows (Mentzelia leucophylla)",,,T,,,"$16,954",,,"1,159,873,136",
857,"Sunray, Ash Meadows (Enceliopsis nudicaulis var. corrugata)",T,"$16,954","$1,159,890,090",,,,,,,,,,
,858,,,"Cycladenia, Jones (Cycladenia jonesii (=humilis))",,,T,,,"$16,800",,,"1,159,906,890",
859,"Pentachaeta, white-rayed (Pentachaeta bellidiflora)",E,"$16,789","$1,159,923,679",,,,,,,,,,
,860,,,"Irisette, white (Sisyrinchium dichotomum)",,,E,,,"$16,228",,,"1,159,939,907",
861,"Meadowrue, Cooley's (Thalictrum cooleyi)",E,"$16,084","$1,159,955,991",,,,,,,,,,
,862,,,"Pinkroot, gentian (Spigelia gentianoides)",,,E,,,"$16,001",,,"1,159,971,992",
863,"Bladderpod, white (Lesquerella pallida)",E,"$16,000","$1,159,987,992",,,,,,,,,,
,864,,,"Heelsplitter, Alabama (=inflated) (Potamilus inflatus)",,,T,,,"$15,956",,,"1,160,003,948",
865,"Amphianthus, little (Amphianthus pusillus)",T,"$15,880","$1,160,019,828",,,,,,,,,,
,866,,,Lau `ehu (Panicum niihauense),,,E,,,"$15,847",,,"1,160,035,675",
867,Asplenium fragile var. insulare (=Sci name),E,"$15,800","$1,160,051,475",,,,,,,,,,
,868,,,"Spider, Tooth Cave (Leptoneta myopica)",,,E,,,"$15,600",,,"1,160,067,075",
869,Platanthera holochila (=Sci name),E,"$15,579","$1,160,082,654",,,,,,,,,,
,870,,,"Darter, Maryland (Etheostoma sellare)",,,E,,,"$15,497",,,"1,160,098,151",
871,"Prickly-apple, fragrant (Cereus eriophorus var. fragrans)",E,"$15,350","$1,160,113,501",,,,,,,,,,
,872,,,"Darter, watercress (Etheostoma nuchale)",,,E,,,"$15,309",,,"1,160,128,810",
873,"Polygala, tiny (Polygala smallii)",E,"$15,100","$1,160,143,910",,,,,,,,,,
,874,,,"Orcutt grass, San Joaquin (Orcuttia inaequalis)",,,T,,,"$14,949",,,"1,160,158,859",
875,"Pearlymussel, birdwing (Conradilla caelata) - TN - portions of the French Broad andHolston Rivers",EXPN,"$14,849","$1,160,173,708",,,,,,,,,,
,876,,,"Brodiaea, Chinese Camp (Brodiaea pallida)",,,T,,,"$14,567",,,"1,160,188,275",
877,Kuawawaenohu (Alsinidendron lychnoides),E,"$14,500","$1,160,202,775",,,,,,,,,,
,878,,,"Vole, Amargosa (Microtus californicus scirpensis)",,,E,,,"$14,340",,,"1,160,217,115",
879,Hau kuahiwi (Hibiscadelphus giffardianus),E,"$14,324","$1,160,231,439",,,,,,,,,,
,880,,,"Lichen, rock gnome (Gymnoderma lineare)",,,E,,,"$14,314",,,"1,160,245,753",
881,"Gilia, Monterey (Gilia tenuiflora ssp. arenaria)",E,"$14,309","$1,160,260,062",,,,,,,,,,
,882,,,Hau kuahiwi (Hibiscadelphus hualalaiensis),,,E,,,"$14,274",,,"1,160,274,336",
883,Rice rat (Oryzomys palustris natator) - lower FL Keys,E,"$14,083","$1,160,288,419",,,,,,,,,,
,884,,,"Grasshopper, Zayante band-winged (Trimerotropis infantilis)",,,E,,,"$14,049",,,"1,160,302,468",
885,"Lupine, clover (Lupinus tidestromii)",E,"$13,839","$1,160,316,307",,,,,,,,,,
,886,,,"Campion, fringed (Silene polypetala)",,,E,,,"$13,800",,,"1,160,330,107",
887,"Chub, slender (Erimystax cahni)",T,"$13,700","$1,160,343,807",,,,,,,,,,
,888,,,"Milk-vetch, Fish Slough (Astragalus lentiginosus var. piscinensis)",,,T,,,"$13,661",,,"1,160,357,468",
889,"Mustard, Carter's (Warea carteri)",E,"$13,656","$1,160,371,124",,,,,,,,,,
,890,,,"Pseudoscorpion, Tooth Cave (Tartarocreagris texana)",,,E,,,"$13,600",,,"1,160,384,724",
890,"Meshweaver, Robber Baron Cave (Cicurina baronia)",E,"$13,600","$1,160,398,324",,,,,,,,,,
,891,,,Kiponapona (Phyllostegia racemosa),,,E,,,"$13,563",,,"1,160,411,887",
892,"Meshweaver, Government Canyon Bat Cave (Cicurina vespera)",E,"$13,260","$1,160,425,147",,,,,,,,,,
,893,,,"Sand-verbena, large-fruited (Abronia macrocarpa)",,,E,,,"$13,250",,,"1,160,438,397",
894,"Primrose, Maguire (Primula maguirei)",T,"$13,227","$1,160,451,624",,,,,,,,,,
,895,,,"Sunflower, San Mateo woolly (Eriophyllum latilobum)",,,E,,,"$13,177",,,"1,160,464,801",
896,"Bellflower, Brooksville (Campanula robinsiae)",E,"$13,056","$1,160,477,857",,,,,,,,,,
855,855,,,,,,,,,,,,,
EXPN,EXPN,,,,,,,,,,,,,
"$17,000","$17,000",,,,,,,,,,,,,
"$1,159,839,197","1,159,839,197",,,,,,,,,,,,,
,,,,,,,,,,Total,Total,,,
897.0,"Avens, spreading (Geum radiatum)",E,"$13,002","$1,160,490,859",,,,,,,,,,
,898,,,Guajon (Eleutherodactylus cooki),,,T,,,"$13,000",,,"1,160,503,859",
898.0,"Harvestman, Cokendolpher Cave (Texella cokendolpheri)",E,"$13,000","$1,160,516,859",,,,,,,,,,
,899,,,"Grass, Solano (Tuctoria mucronata)",,,E,,,"$12,841",,,"1,160,529,700",
900.0,"Mallow, Peter's Mountain (Iliamna corei)",E,"$12,678","$1,160,542,378",,,,,,,,,,
,901,,,"Chaff-flower, round-leaved (Achyranthes splendens var. rotundata)",,,E,,,"$12,633",,,"1,160,555,011",
902.0,"Pentachaeta, Lyon's (Pentachaeta lyonii)",E,"$12,602","$1,160,567,613",,,,,,,,,,
,903,,,"Mint, Lakela's (Dicerandra immaculata)",,,E,,,"$12,600",,,"1,160,580,213",
904.0,"Dudleya, marcescent (Dudleya cymosa ssp. marcescens)",T,"$12,473","$1,160,592,686",,,,,,,,,,
,905,,,"Butterwort, Godfrey's (Pinguicula ionantha)",,,T,,,"$12,383",,,"1,160,605,069",
906.0,"Quillwort, black spored (Isoetes melanospora)",E,"$12,260","$1,160,617,329",,,,,,,,,,
,907,,,Phyllostegia mannii (=Sci name),,,E,,,"$12,137",,,"1,160,629,466",
908.0,"Clarkia, Springville (Clarkia springvillensis)",T,"$12,059","$1,160,641,525",,,,,,,,,,
,909,,,"Chumbo, Higo (Harrisia portoricensis)",,,T,,,"$12,000",,,"1,160,653,525",
910.0,Pa`iniu (Astelia waialealae),E,"$11,985","$1,160,665,510",,,,,,,,,,
,911,,,Alani (Melicope degeneri),,,E,,,"$11,912",,,"1,160,677,422",
912.0,"Rocksnail, round (Leptoxis ampla)",T,"$11,878","$1,160,689,300",,,,,,,,,,
,913,,,"Gourd, Okeechobee (Cucurbita okeechobeensis ssp. okeechobeensis)",,,E,,,"$11,664",,,"1,160,700,964",
914.0,"Milk-vetch, Mancos (Astragalus humillimus)",E,"$11,631","$1,160,712,595",,,,,,,,,,
,915,,,"Checker-mallow, Keck's (Sidalcea keckii)",,,E,,,"$11,609",,,"1,160,724,204",
916.0,"Pikeminnow (=squawfish), Colorado (Ptychocheilus lucius) - Salt and Verde R.drainages, AZ",EXPN,"$11,523","$1,160,735,727",,,,,,,,,,
,917,,,"Boxwood, Vahl's (Buxus vahlii)",,,E,,,"$11,500",,,"1,160,747,227",
918.0,"Crayfish, cave (Cambarus aculabrum)",E,"$11,487","$1,160,758,714",,,,,,,,,,
,919,,,"Lioplax, cylindrical (snail) (Lioplax cyclostomaformis)",,,E,,,"$11,478",,,"1,160,770,192",
920.0,"Honeycreeper, crested (Palmeria dolei)",E,"$11,362","$1,160,781,554",,,,,,,,,,
,921,,,"Onion, Munz's (Allium munzii)",,,E,,,"$11,332",,,"1,160,792,886",
922.0,"Daisy, lakeside (Hymenoxys herbacea)",T,"$11,331","$1,160,804,217",,,,,,,,,,
,923,,,"Warea, wide-leaf (Warea amplexifolia)",,,E,,,"$11,256",,,"1,160,815,473",
924.0,"Pigtoe, dark (Pleurobema furvum)",E,"$11,220","$1,160,826,693",,,,,,,,,,
,925,,,Na`ena`e (Dubautia plantaginea ssp. humilis),,,E,,,"$11,137",,,"1,160,837,830",
926.0,"Cypress, Santa Cruz (Cupressus abramsiana)",E,"$11,120","$1,160,848,950",,,,,,,,,,
,927,,,Kamakahala (Labordia lydgatei),,,E,,,"$11,102",,,"1,160,860,052",
928.0,"Spurge, Garber's (Chamaesyce garberi)",T,"$11,100","$1,160,871,152",,,,,,,,,,
,929,,,"White-eye, Rota bridled (Zosterops rotensis)",,,E,,,"$11,030",,,"1,160,882,182",
930.0,"Bladderpod, kodachrome (Lesquerella tumulosa)",E,"$11,027","$1,160,893,209",,,,,,,,,,
,931,,,"Warbler (=wood), Bachman's (Vermivora bachmanii)",,,E,,,"$11,000",,,"1,160,904,209",
931.0,"Crow, white-necked (Corvus leucognaphalus)",E,"$11,000","$1,160,915,209",,,,,,,,,,
,931,,,"Spider, Kauai cave wolf or pe'e pe'e maka 'ole (Adelocosa anops)",,,E,,,"$11,000",,,"1,160,926,209",
932.0,"Pigtoe, Georgia (Pleurobema hanleyianum)",E,"$10,901","$1,160,937,110",,,,,,,,,,
,933,,,"Fern, pendant kihi (Adenophorus periens)",,,E,,,"$10,757",,,"1,160,947,867",
934.0,"Bladderpod, Dudley Bluffs (Lesquerella congesta)",T,"$10,684","$1,160,958,551",,,,,,,,,,
,935,,,"Beetle, Helotes mold (Batrisodes venyivi)",,,E,,,"$10,600",,,"1,160,969,151",
936.0,"Amphipod, Noel's (Gammarus desperatus)",E,"$10,500","$1,160,979,651",,,,,,,,,,
,937,,,"Wallflower, Ben Lomond (Erysimum teretifolium)",,,E,,,"$10,486",,,"1,160,990,137",
938.0,Naenae (Dubautia kalalauensis),E,"$10,476","$1,161,000,613",,,,,,,,,,
,939,,,"Dudleya, Santa Cruz Island (Dudleya nesiotica)",,,T,,,"$10,462",,,"1,161,011,075",
940.0,Aupaka (Isodendrion longifolium),T,"$10,454","$1,161,021,529",,,,,,,,,,
,941,,,Nohoanu (Geranium multiflorum),,,E,,,"$10,400",,,"1,161,031,929",
942.0,Haha (Cyanea platyphylla),E,"$10,323","$1,161,042,252",,,,,,,,,,
,943,,,lehua makanoe (Lysimachia daphnoides),,,E,,,"$10,321",,,"1,161,052,573",
944.0,"Harvestman, Bee Creek Cave (Texella reddelli)",E,"$10,200","$1,161,062,773",,,,,,,,,,
,945,,,"Milk-vetch, heliotrope (Astragalus montii)",,,T,,,"$10,100",,,"1,161,072,873",
946.0,"Spineflower, Howell's (Chorizanthe howellii)",E,"$10,000","$1,161,082,873",,,,,,,,,,
,947,,,"Vetch, Hawaiian (Vicia menziesii)",,,E,,,"$9,924",,,"1,161,092,797",
948.0,Na`ena`e (Dubautia waialealae),E,"$9,812","$1,161,102,609",,,,,,,,,,
,948,,,Kamakahala (Labordia pumila),,,E,,,"$9,812",,,"1,161,112,421",
948.0,Keysseria (=Lagenifera) erici (=Sci name),E,"$9,812","$1,161,122,233",,,,,,,,,,
,949,,,"Clover, Monterey (Trifolium trichocalyx)",,,E,,,"$9,770",,,"1,161,132,003",
,950,,,"Campeloma, slender (Campeloma decampi)",,,E,,,"$9,720",,,"1,161,141,723",
951.0,"Pigtoe, Cumberland (Pleurobema gibberum)",E,"$9,633","$1,161,151,356",,,,,,,,,,
,952,,,"roseroot, Leedy's (Rhodiola integrifolia ssp. leedyi)",,,T,,,"$9,562",,,"1,161,160,918",
953.0,Neraudia angulata (=Sci name),E,"$9,543","$1,161,170,461",,,,,,,,,,
,954,,,Lo`ulu (Pritchardia affinis),,,E,,,"$9,517",,,"1,161,179,978",
955.0,"Shagreen, Magazine Mountain (Mesodon magazinensis)",T,"$9,500","$1,161,189,478",,,,,,,,,,
,955,,,"Quillwort, mat-forming (Isoetes tegetiformans)",,,E,,,"$9,500",,,"1,161,198,978",
956.0,`Anaunau (Lepidium arbuscula),E,"$9,453","$1,161,208,431",,,,,,,,,,
,957,,,Lobelia niihauensis (=Sci name),,,E,,,"$9,443",,,"1,161,217,874",
958.0,"Snail, Pecos assiminea (Assiminea pecos)",E,"$9,400","$1,161,227,274",,,,,,,,,,
,959,,,Alani (Melicope puberula),,,E,,,"$9,312",,,"1,161,236,586",
960.0,"Cactus, Brady pincushion (Pediocactus bradyi)",E,"$9,250","$1,161,245,836",,,,,,,,,,
,961,,,"Mallow, Kern (Eremalche kernensis)",,,E,,,"$9,232",,,"1,161,255,068",
962.0,Haha (Cyanea hamatiflora ssp. hamatiflora),E,"$9,221","$1,161,264,289",,,,,,,,,,
,963,,,"Springsnail, Roswell (Pyrgulopsis roswellensis)",,,E,,,"$9,200",,,"1,161,273,489",
964.0,"Thistle, Chorro Creek bog (Cirsium fontinale var. obispoense)",E,"$9,156","$1,161,282,645",,,,,,,,,,
,965,,,"Milk-vetch, triple-ribbed (Astragalus tricarinatus)",,,E,,,"$9,152",,,"1,161,291,797",
966.0,Abutilon eremitopetalum (=Sci name),E,"$9,151","$1,161,300,948",,,,,,,,,,
,967,,,"Aumakua, Palapalai (Dryopteris crinalis var. podosorus)",,,E,,,"$9,112",,,"1,161,310,060",
968.0,"Springsnail, Koster's (Juturnia kosteri)",E,"$9,100","$1,161,319,160",,,,,,,,,,
,969,,,Schiedea hookeri (=Sci name),,,E,,,"$8,956",,,"1,161,328,116",
969.0,`Akoko (Chamaesyce kuwaleana),E,"$8,956","$1,161,337,072",,,,,,,,,,
,970,,,"Baccharis, Encinitas (Baccharis vanessae)",,,T,,,"$8,952",,,"1,161,346,024",
971.0,"Sunburst, Hartweg's golden (Pseudobahia bahiifolia)",E,"$8,951","$1,161,354,975",,,,,,,,,,
,972,,,Alani (Melicope pallida),,,E,,,"$8,921",,,"1,161,363,896",
973.0,"Spurge, Hoover's (Chamaesyce hooveri)",T,"$8,865","$1,161,372,761",,,,,,,,,,
,974,,,Nehe (Lipochaeta lobata var. leptophylla),,,E,,,"$8,856",,,"1,161,381,617",
975.0,"Gilia, Hoffmann's slender-flowered (Gilia tenuiflora ssp. hoffmannii)",E,"$8,812","$1,161,390,429",,,,,,,,,,
,976,,,Kopiko (Psychotria grandiflora),,,E,,,"$8,763",,,"1,161,399,192",
976.0,Kolea (Myrsine mezii),E,"$8,763","$1,161,407,955",,,,,,,,,,
,977,,,"Orcutt grass, hairy (Orcuttia pilosa)",,,E,,,"$8,661",,,"1,161,416,616",
978.0,"Harvestman, Bone Cave (Texella reyesi)",E,"$8,600","$1,161,425,216",,,,,,,,,,
,979,,,Haha (Cyanea copelandii ssp. haleakalaensis),,,E,,,"$8,587",,,"1,161,433,803",
980.0,Haha (Cyanea lobata),E,"$8,502","$1,161,442,305",,,,,,,,,,
,981,,,Haha (Cyanea glabra),,,E,,,"$8,487",,,"1,161,450,792",
982.0,"Rosemary, Apalachicola (Conradina glabra)",E,"$8,481","$1,161,459,273",,,,,,,,,,
,983,,,"`Aiakeakua, popolo (Solanum sandwicense)",,,E,,,"$8,457",,,"1,161,467,730",
984.0,Kolea (Myrsine linearifolia),T,"$8,451","$1,161,476,181",,,,,,,,,,
,985,,,"Reed-mustard, clay (Schoenocrambe argillacea)",,,T,,,"$8,450",,,"1,161,484,631",
986.0,Schiedea kaalae (=Sci name),E,"$8,420","$1,161,493,051",,,,,,,,,,
,987,,,"Ischaemum, Hilo (Ischaemum byrone)",,,E,,,"$8,411",,,"1,161,501,462",
988.0,"Rail, Guam (Rallus owstoni) - Rota",EXPN,"$8,400","$1,161,509,862",,,,,,,,,,
,989,,,Ha`iwale (Cyrtandra tintinnabula),,,E,,,"$8,398",,,"1,161,518,260",
990.0,"Cactus, Arizona hedgehog (Echinocereus triglochidiatus var. arizonicus)",E,"$8,370","$1,161,526,630",,,,,,,,,,
,991,,,Lo`ulu (Pritchardia schattaueri),,,E,,,"$8,361",,,"1,161,534,991",
992.0,"Amphipod, Illinois cave (Gammarus acherondytes)",E,"$8,300","$1,161,543,291",,,,,,,,,,
,993,,,"Whitlow-wort, papery (Paronychia chartacea)",,,T,,,"$8,250",,,"1,161,551,541",
994.0,"Birds-in-a-nest, white (Macbridea alba)",T,"$8,183","$1,161,559,724",,,,,,,,,,
,995,,,`Oha wai (Clermontia samuelii),,,E,,,"$8,100",,,"1,161,567,824",
995.0,Wawae`iole (Huperzia mannii),E,"$8,100","$1,161,575,924",,,,,,,,,,
,996,,,"Crane, Mississippi sandhill (Grus canadensis pulla)",,,E,,,"$8,017",,,"1,161,583,941",
997.0,Diplazium molokaiense (=Sci name),E,"$7,906","$1,161,591,847",,,,,,,,,,
,998,,,"Fern, Aleutian shield (Polystichum aleuticum)",,,E,,,"$7,900",,,"1,161,599,747",
999.0,Kamakahala (Labordia helleri),E,"$7,812","$1,161,607,559",,,,,,,,,,
,1000,,,"Paintbrush, Tiburon (Castilleja affinis ssp. neglecta)",,,E,,,"$7,806",,,"1,161,615,365",
1001.0,"Snail, painted snake coiled forest (Anguispira picta)",T,"$7,800","$1,161,623,165",,,,,,,,,,
,1002,,,"Skullcap, Florida (Scutellaria floridana)",,,T,,,"$7,767",,,"1,161,630,932",
1003.0,"Manzanita, Morro (Arctostaphylos morroensis)",T,"$7,645","$1,161,638,577",,,,,,,,,,
,1004,,,"Beetle, Tooth Cave ground (Rhadine persephone)",,,E,,,"$7,600",,,"1,161,646,177",
,1005,,,"Hypericum, highlands scrub (Hypericum cumulicola)",,,E,,,"$7,550",,,"1,161,653,727",
1006.0,Delissea rhytidosperma (=Sci name),E,"$7,538","$1,161,661,265",,,,,,,,,,
,1007,,,"Cliff-rose, Arizona (Purshia (=Cowania) subintegra)",,,E,,,"$7,505",,,"1,161,668,770",
1008.0,"Peperomia, Wheeler's (Peperomia wheeleri)",E,"$7,500","$1,161,676,270",,,,,,,,,,
,1008,,,Aristida chaseae (=Sci name),,,E,,,"$7,500",,,"1,161,683,770",
1009.0,Alani (Melicope paniculata),E,"$7,487","$1,161,691,257",,,,,,,,,,
,1010,,,Tetraplasandra flynnii (=Sci name),,,E,,,"$7,463",,,"1,161,698,720",
1011.0,Delissea undulata (=Sci name),E,"$7,395","$1,161,706,115",,,,,,,,,,
,1012,,,Makou (Peucedanum sandwicense),,,T,,,"$7,370",,,"1,161,713,485",
1013.0,"Dace, Independence Valley speckled (Rhinichthys osculus lethoporus)",E,"$7,339","$1,161,720,824",,,,,,,,,,
,1014,,,Kula wahine noho (Isodendrion pyrifolium),,,E,,,"$7,293",,,"1,161,728,117",
1015.0,"Fringepod, Santa Cruz Island (Thysanocarpus conchuliferus)",E,"$7,262","$1,161,735,379",,,,,,,,,,
,1016,,,"Darter, slackwater (Etheostoma boschungi)",,,T,,,"$7,220",,,"1,161,742,599",
1017.0,Alani (Melicope ovalis),E,"$7,200","$1,161,749,799",,,,,,,,,,
,1018,,,"Pussypaws, Mariposa (Calyptridium pulchellum)",,,T,,,"$7,159",,,"1,161,756,958",
1019.0,Silene alexandri (=Sci name),E,"$7,151","$1,161,764,109",,,,,,,,,,
,1019,,,Viola helenae (=Sci name),,,E,,,"$7,151",,,"1,161,771,260",
1019.0,`Oha wai (Clermontia oblongifolia ssp. brevipes),E,"$7,151","$1,161,778,411",,,,,,,,,,
,1019,,,Stenogyne bifida (=Sci name),,,E,,,"$7,151",,,"1,161,785,562",
1019.0,Kolea (Myrsine knudsenii),E,"$7,151","$1,161,792,713",,,,,,,,,,
,1020,,,"Thornmint, San Diego (Acanthomintha ilicifolia)",,,T,,,"$7,110",,,"1,161,799,823",
1021.0,"Manzanita, Santa Rosa Island (Arctostaphylos confertiflora)",E,"$7,101","$1,161,806,924",,,,,,,,,,
,1022,,,"Birch, Virginia round-leaf (Betula uber)",,,T,,,"$7,100",,,"1,161,814,024",
1022.0,"Cactus, black lace (Echinocereus reichenbachii var. albertii)",E,"$7,100","$1,161,821,124",,,,,,,,,,
,1022,,,"Yellowhead, desert (Yermo xanthocephalus)",,,T,,,"$7,100",,,"1,161,828,224",
1023.0,"Jewelflower, Metcalf Canyon (Streptanthus albidus ssp. albidus)",E,"$7,033","$1,161,835,257",,,,,,,,,,
,1024,,,"Snail, Newcomb's (Erinna newcombi)",,,T,,,"$7,008",,,"1,161,842,265",
1025.0,"Pigeon, Puerto Rican plain (Columba inornata wetmorei)",E,"$7,000","$1,161,849,265",,,,,,,,,,
,1025,,,"Madtom, pygmy (Noturus stanauli) - Entire",,,E,,,"$7,000",,,"1,161,856,265",
1025.0,"Leather flower, Alabama (Clematis socialis)",E,"$7,000","$1,161,863,265",,,,,,,,,,
,1025,,,Eugenia woodburyana (=Sci name),,,E,,,"$7,000",,,"1,161,870,265",
1025.0,Thelypteris yaucoensis (=Sci name),E,"$7,000","$1,161,877,265",,,,,,,,,,
,1026,,,"Rock-cress, Hoffmann's (Arabis hoffmannii)",,,E,,,"$6,901",,,"1,161,884,166",
1027.0,Stenogyne kealiae (=Sci name),E,"$6,864","$1,161,891,030",,,,,,,,,,
,1028,,,`Ahinahina (Argyroxiphium sandwicense ssp. sandwicense),,,E,,,"$6,839",,,"1,161,897,869",
1029.0,Alani (Melicope balloui),E,"$6,800","$1,161,904,669",,,,,,,,,,
,1030,,,"Mountain balm, Indian Knob (Eriodictyon altissimum)",,,E,,,"$6,797",,,"1,161,911,466",
1030.0,"Naupaka, dwarf (Scaevola coriacea)",E,"$6,797","$1,161,918,263",,,,,,,,,,
,1031,,,Awiwi (Centaurium sebaeoides),,,E,,,"$6,789",,,"1,161,925,052",
1032.0,Ha`iwale (Cyrtandra limahuliensis),T,"$6,751","$1,161,931,803",,,,,,,,,,
,1033,,,"Snail, armored (Pyrgulopsis (=Marstonia) pachyta)",,,E,,,"$6,720",,,"1,161,938,523",
1034.0,Nani wai`ale`ale (Viola kauaiensis var. wahiawaensis),E,"$6,664","$1,161,945,187",,,,,,,,,,
,1035,,,"Buckwheat, scrub (Eriogonum longifolium var. gnaphalifolium)",,,T,,,"$6,656",,,"1,161,951,843",
1036.0,Munroidendron racemosum (=Sci name),E,"$6,651","$1,161,958,494",,,,,,,,,,
,1036,,,Haha (Cyanea procera),,,E,,,"$6,651",,,"1,161,965,145",
1036.0,Lysimachia maxima (=Sci name),E,"$6,651","$1,161,971,796",,,,,,,,,,
,1037,,,Koki`o ke`oke`o (Hibiscus waimeae ssp. hannerae),,,E,,,"$6,551",,,"1,161,978,347",
1038.0,"Barberry, island (Berberis pinnata ssp. insularis)",E,"$6,501","$1,161,984,848",,,,,,,,,,
,1038,,,"Paintbrush, soft-leaved (Castilleja mollis)",,,E,,,"$6,501",,,"1,161,991,349",
1038.0,"Bush-mallow, Santa Cruz Island (Malacothamnus fasciculatus var. nesioticus)",E,"$6,501","$1,161,997,850",,,,,,,,,,
