"TABLE 2. SPECIES RANKED IN DESCENDING ORDER OF TOTAL FY2010 REPORTED EXPENDITURES, NOT INCLUDING LAND ACQUISITION COSTS",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Rank,Rank,Species (50 CFR Part 17),Species (50 CFR Part 17),Status,Status,,Species,,,Cumulatative,,,,
,,,,,,,,,Total,Total,,,,
117,"Falcon, northern aplomado (Falco femoralis septentrionalis)",E,"$1,349,143","$1,015,707,381",,,,,,,,,,
,118,,,"Ferret, black-footed (Mustela nigripes) - entire population, except where EXPN",,,E,,,"$1,331,395",,,"1,017,038,776",
119,"Trout, Apache (Oncorhynchus apache)",T,"$1,296,316","$1,018,335,092",,,,,,,,,,
,120,,,"Sea turtle, green (Chelonia mydas) - FL, Mexico nesting pops.",,,E,,,"$1,277,944",,,"1,019,613,036",
121,"Abalone, White (Haliotis sorenseni) - North America (West Coast from PointConception, CA,  to Punta Abreojos, Baja California, Mexico)",E,"$1,239,899","$1,020,852,935",,,,,,,,,,
,122,,,"Sea turtle, olive ridley (Lepidochelys olivacea) - except where endangered",,,T,,,"$1,188,296",,,"1,022,041,231",
123,"Goose, Hawaiian (Branta (=Nesochen) sandvicensis)",E,"$1,176,121","$1,023,217,352",,,,,,,,,,
,124,,,"Frog, Chiricahua leopard (Rana chiricahuensis)",,,T,,,"$1,152,117",,,"1,024,369,469",
125,"Chub, Oregon (Oregonichthys crameri)",T,"$1,151,629","$1,025,521,098",,,,,,,,,,
,126,,,"Eider, spectacled (Somateria fischeri)",,,T,,,"$1,133,700",,,"1,026,654,798",
127,"Vireo, black-capped (Vireo atricapilla)",E,"$1,127,323","$1,027,782,121",,,,,,,,,,
,128,,,"Minnow, Rio Grande silvery (Hybognathus amarus) - Entire, except where EXPN",,,E,,,"$1,118,382",,,"1,028,900,503",
129,"Crane, whooping (Grus americana) - except where EXPN",E,"$1,111,844","$1,030,012,347",,,,,,,,,,
,130,,,"Bat, gray (Myotis grisescens)",,,E,,,"$1,108,571",,,"1,031,120,918",
131,"Tadpole shrimp, vernal pool (Lepidurus packardi)",E,"$1,093,686","$1,032,214,604",,,,,,,,,,
,132,,,"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii) - northern",,,T,,,"$1,090,253",,,"1,033,304,857",
133,"Rabbit, riparian brush (Sylvilagus bachmani riparius)",E,"$1,064,178","$1,034,369,035",,,,,,,,,,
,134,,,"Parrotbill, Maui (honeycreeper) (Pseudonestor xanthophrys)",,,E,,,"$1,063,600",,,"1,035,432,635",
135,"Trout, Gila (Oncorhynchus gilae)",T,"$1,062,750","$1,036,495,385",,,,,,,,,,
,136,,,"Warbler, Kirtland's (Dendroica kirtlandii)",,,E,,,"$1,038,371",,,"1,037,533,756",
137,"Amaranth, seabeach (Amaranthus pumilus)",T,"$1,035,827","$1,038,569,583",,,,,,,,,,
,138,,,"Rail, California clapper (Rallus longirostris obsoletus)",,,E,,,"$1,014,226",,,"1,039,583,809",
139,"Otter, southern sea (Enhydra lutris nereis) - except where EXPN",T,"$1,013,882","$1,040,597,691",,,,,,,,,,
,140,,,"Salamander, California tiger (Ambystoma californiense) - CA - Santa Barbara County",,,E,,,"$1,002,956",,,"1,041,600,647",
141,Higgins eye (pearlymussel) (Lampsilis higginsii),E,"$998,903","$1,042,599,550",,,,,,,,,,
,142,,,"Kite, Everglade snail (Rostrhamus sociabilis plumbeus) - FL pop.",,,E,,,"$982,944",,,"1,043,582,494",
143,"Sucker, June (Chasmistes liorus)",E,"$934,700","$1,044,517,194",,,,,,,,,,
,144,,,"Cactus, Siler pincushion (Pediocactus (=Echinocactus,=Utahia) sileri)",,,T,,,"$928,400",,,"1,045,445,594",
145,"Ferret, black-footed (Mustela nigripes) -  portions of AZ, CO, MT, SD, UT, WY",EXPN,"$924,640","$1,046,370,234",,,,,,,,,,
,146,,,Cui-ui (Chasmistes cujus),,,E,,,"$912,593",,,"1,047,282,827",
147,"Wolf, red (Canis rufus) - portions of NC and TN",EXPN,"$895,500","$1,048,178,327",,,,,,,,,,
,148,,,"Plover, piping (Charadrius melodus) - Great Lakes watershed",,,E,,,"$882,742",,,"1,049,061,069",
149,"Gnatcatcher, coastal California (Polioptila californica californica)",T,"$877,449","$1,049,938,518",,,,,,,,,,
,150,,,"Butterfly, Oregon silverspot (Speyeria zerene hippolyta)",,,T,,,"$875,444",,,"1,050,813,962",
151,"Crow, Mariana (=aga) (Corvus kubaryi)",E,"$873,803","$1,051,687,765",,,,,,,,,,
,152,,,"Crow, Hawaiian (='alala) (Corvus hawaiiensis)",,,E,,,"$841,199",,,"1,052,528,964",
153,"Wolf, gray (Canis lupus) - Mexican gray wolf, EXPN population",EXPN,"$831,844","$1,053,360,808",,,,,,,,,,
,154,,,"Minnow, loach (Tiaroga cobitis)",,,T,,,"$829,547",,,"1,054,190,355",
155,"Mucket, pink (pearlymussel) (Lampsilis abrupta)",E,"$820,394","$1,055,010,749",,,,,,,,,,
,156,,,"Water-umbel, Huachuca (Lilaeopsis schaffneriana var. recurva)",,,E,,,"$808,674",,,"1,055,819,423",
157,"Topminnow, Gila (incl. Yaqui) (Poeciliopsis occidentalis) - U.S.A. only",E,"$758,544","$1,056,577,967",,,,,,,,,,
,158,,,"Mouse, salt marsh harvest (Reithrodontomys raviventris)",,,E,,,"$755,358",,,"1,057,333,325",
159,"Eagle, bald (Haliaeetus leucocephalus) - Sonoran Desert DPS",T,"$746,240","$1,058,079,565",,,,,,,,,,
,160,,,Spikedace (Meda fulgida),,,T,,,"$733,174",,,"1,058,812,739",
161,"Woundfin (Plagopterus argentissimus) - except Gila R. drainage, AZ, NM",E,"$729,904","$1,059,542,643",,,,,,,,,,
,162,,,"Sparrow, Cape Sable seaside (Ammodramus maritimus mirabilis)",,,E,,,"$710,781",,,"1,060,253,424",
163,"Shiner, Pecos bluntnose (Notropis simus pecosensis)",T,"$701,900","$1,060,955,324",,,,,,,,,,
,164,,,"Condor, California (Gymnogyps californianus) - specific portions of AZ, NV, and UT",,,EXPN,,,"$698,300",,,"1,061,653,624",
165,"Snails, Oahu tree (Achatinella spp.)",E,"$685,801","$1,062,339,425",,,,,,,,,,
,166,,,Ocelot (Leopardus (=Felis) pardalis),,,E,,,"$684,535",,,"1,063,023,960",
167,"Peppergrass, Slickspot (Lepidium papilliferum)",T,"$674,205","$1,063,698,165",,,,,,,,,,
114,114,,,,,,,,,,,,,
EXPN,EXPN,,,,,,,,,,,,,
"$1,443,841","$1,443,841",,,,,,,,,,,,,
"$1,011,522,195","1,011,522,195",,,,,,,,,,,,,
,,,,,,,,,,Total,Total,,,
168.0,"Sparrow, Florida grasshopper (Ammodramus savannarum floridanus)",E,"$673,972","$1,064,372,137",,,,,,,,,,
,169,,,"Goby, tidewater (Eucyclogobius newberryi) - Entire",,,E,,,"$662,572",,,"1,065,034,709",
170.0,"Pupfish, Devils Hole (Cyprinodon diabolis)",E,"$655,739","$1,065,690,448",,,,,,,,,,
,171,,,"Darter, fountain (Etheostoma fonticola)",,,E,,,"$655,364",,,"1,066,345,812",
172.0,"Dace, Moapa (Moapa coriacea)",E,"$640,246","$1,066,986,058",,,,,,,,,,
,173,,,"Paintbrush, golden (Castilleja levisecta)",,,T,,,"$639,981",,,"1,067,626,039",
174.0,"Beetle, American burying (Nicrophorus americanus)",E,"$639,848","$1,068,265,887",,,,,,,,,,
,175,,,"Elktoe, Appalachian (Alasmidonta raveneliana)",,,E,,,"$637,938",,,"1,068,903,825",
176.0,"Butterfly, Fender's blue (Icaricia icarioides fenderi)",E,"$612,642","$1,069,516,467",,,,,,,,,,
,177,,,"Rabbit, pygmy (Brachylagus idahoensis) - Columbia Basin DPS",,,E,,,"$607,493",,,"1,070,123,960",
178.0,"Deer, Columbian white-tailed (Odocoileus virginianus leucurus) - Columbia River DPS",E,"$590,728","$1,070,714,688",,,,,,,,,,
,179,,,"Elepaio, Oahu (Chasiempis sandwichensis ibidis)",,,E,,,"$588,974",,,"1,071,303,662",
180.0,"Wedgemussel, dwarf (Alasmidonta heterodon)",E,"$582,082","$1,071,885,744",,,,,,,,,,
,181,,,"Chub, Gila (Gila intermedia)",,,E,,,"$573,655",,,"1,072,459,399",
182.0,"Jaguarundi, Gulf Coast (Herpailurus (=Felis) yagouaroundi cacomitli)",E,"$565,185","$1,073,024,584",,,,,,,,,,
,183,,,"Whipsnake (=striped racer), Alameda (Masticophis lateralis euryxanthus)",,,T,,,"$556,599",,,"1,073,581,183",
184.0,"Butterfly, Quino checkerspot (Euphydryas editha quino (=E. e. wrighti))",E,"$555,403","$1,074,136,586",,,,,,,,,,
,185,,,"Lizard, blunt-nosed leopard (Gambelia silus)",,,E,,,"$554,882",,,"1,074,691,468",
186.0,"Kangaroo rat, giant (Dipodomys ingens)",E,"$545,725","$1,075,237,193",,,,,,,,,,
,187,,,"Bat, Hawaiian hoary (Lasiurus cinereus semotus)",,,E,,,"$544,557",,,"1,075,781,750",
188.0,"Darter, Niangua (Etheostoma nianguae)",T,"$534,983","$1,076,316,733",,,,,,,,,,
,189,,,"Brodiaea, thread-leaved (Brodiaea filifolia)",,,T,,,"$526,858",,,"1,076,843,591",
190.0,"Butterfly, El Segundo blue (Euphilotes battoides allyni)",E,"$525,715","$1,077,369,306",,,,,,,,,,
,191,,,Geocarpon minimum (=Sci name),,,T,,,"$514,400",,,"1,077,883,706",
192.0,"Mouse, Pacific pocket (Perognathus longimembris pacificus)",E,"$504,427","$1,078,388,133",,,,,,,,,,
,193,,,"Sea turtle, olive ridley (Lepidochelys olivacea) - Mexican nesting pop.",,,E,,,"$504,064",,,"1,078,892,197",
194.0,"Chub, Virgin River (Gila seminuda (=robusta))",E,"$503,783","$1,079,395,980",,,,,,,,,,
,195,,,"Fritillary, Gentner's (Fritillaria gentneri)",,,E,,,"$492,250",,,"1,079,888,230",
196.0,"Sparrow, San Clemente sage (Amphispiza belli clementeae)",T,"$487,731","$1,080,375,961",,,,,,,,,,
,197,,,"Petrel, Hawaiian dark-rumped (Pterodroma phaeopygia sandwichensis)",,,E,,,"$487,451",,,"1,080,863,412",
198.0,Pondberry (Lindera melissifolia),E,"$486,365","$1,081,349,777",,,,,,,,,,
,199,,,"Kangaroo rat, San Bernardino Merriam's (Dipodomys merriami parvus)",,,E,,,"$480,917",,,"1,081,830,694",
200.0,"Fairy shrimp, San Diego (Branchinecta sandiegonensis)",E,"$475,338","$1,082,306,032",,,,,,,,,,
